percentile,year,variable_code,value
p0p50,1999,sptinc_z_KI,0.2072
p0p50,2000,sptinc_z_KI,0.2072
p0p50,2001,sptinc_z_KI,0.2027
p0p50,2002,sptinc_z_KI,0.1983
p0p50,2003,sptinc_z_KI,0.194
p0p50,2004,sptinc_z_KI,0.1898
p0p50,2005,sptinc_z_KI,0.1857
p0p50,2006,sptinc_z_KI,0.1817
p0p50,2007,sptinc_z_KI,0.1778
p0p50,2008,sptinc_z_KI,0.1739
p0p50,2009,sptinc_z_KI,0.1702
p0p50,2010,sptinc_z_KI,0.1665
p0p50,2011,sptinc_z_KI,0.1655
p0p50,2012,sptinc_z_KI,0.1645
p0p50,2013,sptinc_z_KI,0.1636
p0p50,2014,sptinc_z_KI,0.1627
p0p50,2015,sptinc_z_KI,0.1619
p0p50,2016,sptinc_z_KI,0.1611
p0p50,2017,sptinc_z_KI,0.1603
p0p50,2018,sptinc_z_KI,0.1596
p0p50,2019,sptinc_z_KI,0.1589
p0p50,2020,sptinc_z_KI,0.1582
p0p50,2021,sptinc_z_KI,0.1582
p0p50,2022,sptinc_z_KI,0.1582
p0p50,2023,sptinc_z_KI,0.1582
p0p50,2024,sptinc_z_KI,0.1582
p99p100,1980,sptinc_z_GN,0.0973
p99p100,1981,sptinc_z_GN,0.0973
p99p100,1982,sptinc_z_GN,0.0973
p99p100,1983,sptinc_z_GN,0.0973
p99p100,1984,sptinc_z_GN,0.0973
p99p100,1985,sptinc_z_GN,0.0973
p99p100,1986,sptinc_z_GN,0.0973
p99p100,1987,sptinc_z_GN,0.0973
p99p100,1988,sptinc_z_GN,0.0973
p99p100,1989,sptinc_z_GN,0.0973
p99p100,1990,sptinc_z_GN,0.0973
p99p100,1991,sptinc_z_GN,0.0973
p99p100,1992,sptinc_z_GN,0.1273
p99p100,1993,sptinc_z_GN,0.1573
p99p100,1994,sptinc_z_GN,0.1874
p99p100,1995,sptinc_z_GN,0.1872
p99p100,1996,sptinc_z_GN,0.187
p99p100,1997,sptinc_z_GN,0.1868
p99p100,1998,sptinc_z_GN,0.1866
p99p100,1999,sptinc_z_GN,0.1864
p99p100,2000,sptinc_z_GN,0.1861
p99p100,2001,sptinc_z_GN,0.1859
p99p100,2002,sptinc_z_GN,0.1857
p99p100,2003,sptinc_z_GN,0.1749
p99p100,2004,sptinc_z_GN,0.1641
p99p100,2005,sptinc_z_GN,0.1533
p99p100,2006,sptinc_z_GN,0.1425
p99p100,2007,sptinc_z_GN,0.1317
p99p100,2008,sptinc_z_GN,0.1304
p99p100,2009,sptinc_z_GN,0.1291
p99p100,2010,sptinc_z_GN,0.1279
p99p100,2011,sptinc_z_GN,0.1266
p99p100,2012,sptinc_z_GN,0.1254
p99p100,2013,sptinc_z_GN,0.119
p99p100,2014,sptinc_z_GN,0.1126
p99p100,2015,sptinc_z_GN,0.1063
p99p100,2016,sptinc_z_GN,0.0999
p99p100,2017,sptinc_z_GN,0.0935
p99p100,2018,sptinc_z_GN,0.0871
p99p100,2019,sptinc_z_GN,0.0871
p99p100,2020,sptinc_z_GN,0.0871
p99p100,2021,sptinc_z_GN,0.0871
p99p100,2022,sptinc_z_GN,0.0871
p99p100,2023,sptinc_z_GN,0.0871
p99p100,2024,sptinc_z_GN,0.0871
p0p50,1980,sptinc_z_GN,0.1093
p0p50,1981,sptinc_z_GN,0.1093
p0p50,1982,sptinc_z_GN,0.1093
p0p50,1983,sptinc_z_GN,0.1093
p0p50,1984,sptinc_z_GN,0.1093
p0p50,1985,sptinc_z_GN,0.1093
p0p50,1986,sptinc_z_GN,0.1093
p0p50,1987,sptinc_z_GN,0.1093
p0p50,1988,sptinc_z_GN,0.1093
p0p50,1989,sptinc_z_GN,0.1093
p0p50,1990,sptinc_z_GN,0.1093
p0p50,1991,sptinc_z_GN,0.1093
p0p50,1992,sptinc_z_GN,0.1088
p0p50,1993,sptinc_z_GN,0.1083
p0p50,1994,sptinc_z_GN,0.1078
p0p50,1995,sptinc_z_GN,0.1094
p0p50,1996,sptinc_z_GN,0.111
p0p50,1997,sptinc_z_GN,0.1125
p0p50,1998,sptinc_z_GN,0.1141
p0p50,1999,sptinc_z_GN,0.1157
p0p50,2000,sptinc_z_GN,0.1173
p0p50,2001,sptinc_z_GN,0.1189
p0p50,2002,sptinc_z_GN,0.1204
p0p50,2003,sptinc_z_GN,0.1238
p0p50,2004,sptinc_z_GN,0.1272
p0p50,2005,sptinc_z_GN,0.1306
p0p50,2006,sptinc_z_GN,0.134
p0p50,2007,sptinc_z_GN,0.1374
p0p50,2008,sptinc_z_GN,0.1423
p0p50,2009,sptinc_z_GN,0.1472
p0p50,2010,sptinc_z_GN,0.1521
p0p50,2011,sptinc_z_GN,0.157
p0p50,2012,sptinc_z_GN,0.1619
p0p50,2013,sptinc_z_GN,0.1653
p0p50,2014,sptinc_z_GN,0.1686
p0p50,2015,sptinc_z_GN,0.172
p0p50,2016,sptinc_z_GN,0.1753
p0p50,2017,sptinc_z_GN,0.1787
p0p50,2018,sptinc_z_GN,0.182
p0p50,2019,sptinc_z_GN,0.182
p0p50,2020,sptinc_z_GN,0.182
p0p50,2021,sptinc_z_GN,0.182
p0p50,2022,sptinc_z_GN,0.182
